RA,DEC,NAME,ra_deg,dec_deg
17 48 05.00,-24 46 48.0,Cl Terzan    5,267.020833333,-24.78
00 24 05.359,-72 04 53.20,NGC   104,6.02232916667,-72.0814444444
18 24 32.89,-24 52 11.4,M  28,276.137041667,-24.8698333333
21 29 58.33,+12 10 01.2,M  15,322.493041667,12.167
17 01 12.60,-30 06 44.5,M  62,255.3025,-30.1123611111
17 48 52.67,-20 21 34.5,NGC  6440,267.219458333,-20.3595833333
17 48 52.67,-20 21 34.5,NGC  6440,267.219458333,-20.3595833333
18 23 40.51,-30 21 39.7,NGC  6624,275.918791667,-30.3610277778
15 18 33.22,+02 04 51.7,M   5,229.638416667,2.08102777778
16 41 41.634,+36 27 40.75,M  13,250.423475,36.4613194444
19 10 52.11,-59 59 04.4,NGC  6752,287.717125,-59.9845555556
13 42 11.62,+28 22 38.2,M   3,205.548416667,28.3772777778
17 50 13.06,-37 03 05.2,NGC  6441,267.554416667,-37.0514444444
18 01 50.376,-08 57 34.39,NGC  6517,270.4599,-8.95955277778
18 03 34.08,-30 02 02.3,NGC  6522,270.892,-30.0339722222
19 05 15.36,+01 54 00.0,NGC  6749,286.314,1.9
21 40 22.12,-23 10 47.5,M  30,325.092166667,-23.1798611111
18 07 20.58,-24 59 50.4,NGC  6544,271.83575,-24.9973333333
18 36 23.94,-23 54 17.1,M  22,279.09975,-23.90475
19 11 12.06,+01 01 49.7,NGC  6760,287.80025,1.03047222222
05 14 06.76,-40 02 47.6,NGC  1851,78.5281666667,-40.0465555556
13 12 55.25,+18 10 05.4,M  53,198.230208333,18.1681666667
16 23 35.22,-26 31 32.7,M   4,245.89675,-26.52575
17 21 10.14,-19 35 14.7,NGC  6342,260.29225,-19.5874166667
17 40 42.09,-53 40 27.6,NGC  6397,265.175375,-53.6743333333
18 04 49.74,-07 35 09.1,NGC  6539,271.20725,-7.58586111111
18 35 45.63,-32 59 26.6,NGC  6652,278.940125,-32.9907222222
19 53 46.49,+18 46 45.1,M  71,298.443708333,18.7791944444
15 46 03.00,-37 47 11.1,NGC  5986,236.5125,-37.7864166667
