NAME,ra_deg,dec_deg,label
J0437-47,69.3163808333,-47.2525883333,PPTA
B0613-02.0,93.4332329167,-2.01311888889,PPTA
J0712-68,107.97583625,-68.5131869444,PPTA
J1022+10,155.7417125,10.0313472222,PPTA
J1024-0719,156.1612375,-7.32196388889,PPTA
J1045-45,161.4591225,-45.1650397222,PPTA
J1600-3053,240.216266667,-30.8970330556,PPTA
J1604-72,240.898665833,-72.0424161111,PPTA
J1643-1224,250.9089825,-12.4163111111,PPTA
J1713+0447,258.456377083,7.79375722222,PPTA
J1730-2304,262.59020125,-23.0753888889,PPTA
J1732-5049,263.199029583,-50.8166972222,PPTA
J1744-1134,266.122542917,-11.5818686111,PPTA
J1824-2452A,276.133370833,-24.86975,PPTA
M  28,276.137041667,-24.8698333333,PPTA
B1855+09,284.401631667,9.72145333333,PPTA
J1909-3744,287.4476575,-37.7373122222,PPTA
B1937+21,294.915,21.6227777778,PPTA
J2124-3358,321.182693333,-33.9791558333,PPTA
J2129-5718,322.344840833,-57.3539358333,PPTA
B2145-07.8,326.460291667,-7.83841666667,PPTA
J0340+4130,55.09703625,41.5125833333,Nanograv
J0613−0200,342.193320686,30.4356793917,Nanograv
J0645+5158,101.496174583,51.9708113889,Nanograv
J0931−1902,40.2587733693,24.7543773114,Nanograv
J1012+5307,153.13930875,53.1173788889,Nanograv
J1024−0719,57.7057679015,33.3522386956,Nanograv
J1455−3330,96.1328357927,-23.3427512091,Nanograv
J1600−3053,108.188164919,-32.4454142071,Nanograv
J1614−2230,118.035961153,-29.5204911874,Nanograv
J1643−1224,131.815462435,-27.6713691054,Nanograv
J1744−1134,145.463724878,-37.1688999488,Nanograv
J1747−4036,112.316419383,-55.9204207785,Nanograv
J1909−3744,133.605283864,-68.882734027,Nanograv
J1918−0642,175.276135896,-45.7905487307,Nanograv
J2010−1323,191.052044988,-56.3666577946,Nanograv
J2145−0750,230.848721657,-50.6181331722,Nanograv
J2302+4442,345.695745417,44.7061394444,Nanograv
J1713+0747,258.456377083,7.79375722222,Nanograv
B1937+21,294.915,21.6227777778,Nanograv
J0437-4715,69.316234,-47.252531,MSPs <-35 decl
J2241-5236,340.425077,-52.610063,MSPs <-35 decl
J0711-6830,107.975788,-68.513171,MSPs <-35 decl
J1045-4509,161.459112,-45.165034,MSPs <-35 decl
J1652-48,253.225,-48.75,MSPs <-35 decl
J1933-6211,293.385111,-62.196354,MSPs <-35 decl
J1909-3744,287.447644,-37.737352,MSPs <-35 decl
J1732-5049,263.199028,-50.81672,MSPs <-35 decl
J1421-4409,215.337353,-44.151261,MSPs <-35 decl
J1708-3506,257.073426,-35.106289,MSPs <-35 decl
J1902-5105,285.511868,-51.099158,MSPs <-35 decl
J2129-5721,322.344862,-57.353948,MSPs <-35 decl
J1017-7156,154.463868,-71.944902,MSPs <-35 decl
J1405-4656,211.339273,-46.933975,MSPs <-35 decl
J1747-4036,266.952985,-40.615219,MSPs <-35 decl
J1125-5825,171.434857,-58.421356,MSPs <-35 decl
J1147-66,176.75,-66.0,MSPs <-35 decl
J1545-4550,236.483108,-45.843758,MSPs <-35 decl
J1431-4715,217.935907,-47.257659,MSPs <-35 decl
J1658-5324,254.663932,-53.401945,MSPs <-35 decl
B0021-72C,5.959811,-72.075418,MSPs <-35 decl
J1903-7051,285.91164,-70.862073,MSPs <-35 decl
J1543-5149,235.933958,-51.831857,MSPs <-35 decl
J1446-4701,221.648808,-47.024102,MSPs <-35 decl
J1431-5740,217.764564,-57.669908,MSPs <-35 decl
J1337-6423,204.382846,-64.384699,MSPs <-35 decl
J2236-5527,339.216046,-55.463565,MSPs <-35 decl
J0101-6422,15.296318,-64.375048,MSPs <-35 decl
J1101-6424,165.404968,-64.410926,MSPs <-35 decl
J1435-6100,218.834485,-61.016099,MSPs <-35 decl
J1910-5959C,287.773147,-60.016583,MSPs <-35 decl
J1910-5959A,287.928148,-59.97414,MSPs <-35 decl
J1546-59,236.5,-59.0,MSPs <-35 decl
J1103-5403,165.888725,-54.062013,MSPs <-35 decl
J1514-4946,228.579642,-49.770977,MSPs <-35 decl
J0922-52,140.5,-52.0,MSPs <-35 decl
J1529-3828,232.312944,-38.479403,MSPs <-35 decl
J1552-4937,238.055295,-49.630484,MSPs <-35 decl
J1910-5959E,287.717322,-59.983913,MSPs <-35 decl
J1125-6014,171.480075,-60.235169,MSPs <-35 decl
J1216-6410,184.030582,-64.169229,MSPs <-35 decl
J1910-5959B,287.716898,-59.983573,MSPs <-35 decl
J1910-5959D,287.718401,-59.984855,MSPs <-35 decl
J2317+1439,349.288486,14.658682,Possible MSP targets
J0751+1807,117.788147,18.127357,Possible MSP targets
J2051-0827,312.781332,-8.460486,Possible MSP targets
J1944+0907,296.038879,9.123057,Possible MSP targets
J0613-0200,93.433233,-2.01312,Possible MSP targets
B1257+12,195.014903,12.682353,Possible MSP targets
J1640+2224,250.069771,22.402451,Possible MSP targets
B1821-24A,276.133366,-24.869676,Possible MSP targets
J2010-1323,302.691339,-13.398914,Possible MSP targets
J1748-3009,267.099125,-30.153389,Possible MSP targets
J1903+0327,285.774138,3.455336,Possible MSP targets
J1455-3330,223.949876,-33.512885,Possible MSP targets
J1723-2837,260.846607,-28.632547,Possible MSP targets
J1807-2459A,271.834815,-24.998028,Possible MSP targets
J1832-0836,278.11497,-8.615283,Possible MSP targets
B1953+29,298.866147,29.145399,Possible MSP targets
J1741+1351,265.37977,13.862254,Possible MSP targets
J0218+4232,34.526494,42.53816,Possible MSP targets
J2229+2643,337.462019,26.73268,Possible MSP targets
J0509+08,77.35,8.95,Possible MSP targets
B1820-30A,275.918696,-30.361146,Possible MSP targets
J1614-2230,243.652114,-22.508686,Possible MSP targets
J2234+0611,338.596142,6.191303,Possible MSP targets
J1935+1726,293.76645,17.441239,Possible MSP targets
J1738+0333,264.724858,3.553019,Possible MSP targets
J1813-2621,273.419132,-26.365849,Possible MSP targets
J0034-0534,8.590976,-5.576867,Possible MSP targets
J0030+0451,7.614283,4.861031,Possible MSP targets
J1721-2457,260.272908,-24.951714,Possible MSP targets
J1918-0642,289.700136,-6.709695,Possible MSP targets
J1843-1448,280.755729,-14.803503,Possible MSP targets
J2214+3000,333.661886,30.010609,Possible MSP targets
J1910+1256,287.540423,12.940405,Possible MSP targets
J1911-1114,287.955343,-11.239578,Possible MSP targets
J2017+0603,304.344605,6.051546,Possible MSP targets
J0023+0923,5.820326,9.389963,Possible MSP targets
J0931-1902,142.829655,-19.048618,Possible MSP targets
J1719-1438,259.791971,-14.633595,Possible MSP targets
J0610-2100,92.556648,-21.007759,Possible MSP targets
J1701-3006A,255.302123,-30.108381,Possible MSP targets
J1804-2717,271.088055,-27.292037,Possible MSP targets
J1853+1303,283.488826,13.062236,Possible MSP targets
B1957+20,299.903208,20.804201,Possible MSP targets
J1731-1847,262.823374,-18.792407,Possible MSP targets
J1811-2405,272.832721,-24.088435,Possible MSP targets
J1801-3210,270.357873,-32.181587,Possible MSP targets
J1701-3006B,255.302782,-30.113623,Possible MSP targets
J1701-3006C,255.303608,-30.116504,Possible MSP targets
J1946+3417,296.604713,34.287414,Possible MSP targets
J1955+2527,298.99748,25.450956,Possible MSP targets
J1923+2515,290.843719,25.261276,Possible MSP targets
J1709+2313,257.274133,23.224403,Possible MSP targets
J1825-0319,276.483138,-3.332658,Possible MSP targets
J1836-2354A,279.106022,-23.914553,Possible MSP targets
J1850+0124,282.504225,1.409614,Possible MSP targets
