Rank,Name,Name.1,RA,Dec,D,Vhel,Mag/Filter,lgMHI_bin,lgMHI,a/b,W50,Type,RA_deg,Dec_deg
1,J0454-53,NGC1705,04h54m13.50s,-53d21m39.8s,5.1,633.3,12.77,1,7.96,0.74,128,.LA.-P*,73.55625,-53.3610555556
2,J0008-34,ESO349-G031,00h08m13.36s,-34d34m42.0s,3.29,221.0,15.4B,1,7.17,0.82,30,.IB.9..,2.05566666667,-34.5783333333
3,J0049-20,UGCA015,00h49m49.20s,-21d00m54.0s,3.34,294.6,15.1B,1,6.99,0.41,36,.IBS9*.,12.455,-21.015
4,J0310-39,ESO300-G016,03h10m10.48s,-40d00m10.5s,9.35,709.7,15.56,1,7.95,0.81,36,,47.5436666667,-40.0029166667
5,J1321-31,KK98-195,13h21m08.20s,-31d31m45.0s,5.22,571.8,17.1,1,7.56,0.46,38,,200.284166667,-31.5291666667
1,J0320-52,NGC1311,03h20m06.96s,-52d11m07.9s,6.99,569.1,13.1B,2,8.25,0.27,81,.SBS9?/,50.029,-52.1855277778
2,J1337-28,ESO444-G084,13h37m19.99s,-28d02m42.0s,4.61,587.0,14.96,2,8.03,0.77,58,.I..9..,204.333291667,-28.045
3,J0135-41,NGC0625,01h35m04.63s,-41d26m10.3s,4.07,395.7,11.5B,2,8.09,0.33,75,.SBS9$/,23.7692916667,-41.4361944444
4,J0429-27,NGC1592,04h29m40.13s,-27d24m30.7s,13.0,946.0,14.45,2,8.37,0.5,73,.P.....,67.4172083333,-27.4085277778
5,J0031-22,ESO473-G024,00h31m22.51s,-22d45m57.5s,7.91,539.2,16.1B,2,8.01,0.55,47,.IBS9..,7.84379166667,-22.7659722222
1,J2009-61,IC4951,20h09m31.77s,-61d51m01.7s,11.25,814.4,13.97,3,8.87,0.18,122,.SBS8*/,302.382375,-61.8504722222
2,J0351-38,ESO302-G014,03h51m40.90s,-38d27m08.0s,11.68,871.7,15.1,3,8.55,0.88,67,.IBS9..,57.9204166667,-38.4522222222
3,J0331-51,IC1954,03h31m31.39s,-51d54m17.4s,14.28,1063.4,12.15,3,8.96,0.47,224,.SBS3*.,52.8807916667,-51.9048333333
4,J1106-14,KKS2000-23,11h06m12.00s,-14d24m25.7s,12.68,1039.3,15.8,3,8.62,0.34,77,,166.55,-14.4071388889
5,J1253-12,UGCA307,12h53m57.29s,-12d06m21.0s,8.62,824.2,15,3,8.67,0.5,72,,193.488708333,-12.1058333333
1,J1303-17b,UGCA320,13h03m16.74s,-17d25m22.9s,7.74,742.9,13.78,4,9.12,0.13,113,.IBS9/.,195.81975,-17.4230277778
2,J1318-21,NGC5068,13h18m54.81s,-21d02m20.8s,6.89,668.1,10.52,4,9.16,0.88,73,.SXT6..,199.728375,-21.0391111111
3,J2357-32,NGC7793,23h57m49.83s,-32d35m27.7s,3.91,227.3,9.98,4,9.01,0.68,173,.SAS7..,359.457625,-32.5910277778
4,J0309-41,ESO300-G014,03h09m37.87s,-41d01m49.7s,12.89,955.0,13,4,9.0,0.52,130,.SXS9..,47.4077916667,-41.0304722222
5,J0546-52,NGC2101,05h46m24.17s,-52d05m18.7s,16.09,1192.3,13.69,4,9.18,0.68,93,.IBS9P.,86.6007083333,-52.0885277778
1,J0516-37,ESO362-G011,05h16m38.80s,-37d06m09.1s,18.7,1344.0,13.04,5,9.68,0.16,280,.S..4*/,79.1616666667,-37.1025277778
2,J0459-26,NGC1744,04h59m57.80s,-26d01m20.0s,10.01,740.8,11.9B,5,9.56,0.54,200,.SBS7..,74.9908333333,-26.0222222222
3,J1103-23:S1,NGC3511,11h03m23.77s,-23d05m12.4s,14.19,1113.9,11.53,5,9.62,0.34,265,.SAS5..,165.849041667,-23.0867777778
3,J1103-23:S2,NGC3513,11h03m46.08s,-23d14m43.8s,14.19,1113.9,11.93,5,9.62,0.79,265,,165.942,-23.2455
4,J0335-24,NGC1371,03h35m01.34s,-24d55m59.6s,20.36,1462.9,11.2B,5,9.84,0.7,391,.SXT1..,53.7555833333,-24.9332222222
5,J1254-10a,NGC4781,12h54m27.00s,-10d30m30.0s,16.05,1260.1,,5,9.55,,233,,193.6125,-10.5083333333
1,J1153-28,UGCA250,11h53m24.06s,-28d33m11.4s,24.39,1706.5,13.18,6,10.0,0.14,274,.S..7*/,178.35025,-28.5531666667
2,J2257-41,NGC7424,22h57m18.37s,-41d04m14.1s,13.56,938.5,10.96,6,10.04,0.85,159,.SXT6..,344.326541667,-41.0705833333
3,J0052-31,NGC0289,00h52m42.36s,-31d12m21.0s,22.9,1628.9,11.72,6,10.34,0.71,277,.SBT4..,13.1765,-31.2058333333
4,J0419-54,NGC1566,04h20m00.42s,-54d56m16.1s,20.71,1503.0,10.33,6,10.19,0.8,205,.SXS4..,65.00175,-54.9378055556
5,J0445-59,NGC1672,04h45m42.50s,-59d14m49.9s,18.13,1334.0,10.28,6,10.19,0.83,250,.SBS3..,71.4270833333,-59.2471944444
