,RA,DEC,NAME,ra_deg,dec_deg
0,04 37 15.9314,-47 15 09.318,PSR J0437-47,69.3163808333,-47.2525883333
1,06 13 43.9759,-02 00 47.228,PSR B0613-02.0,93.4332329167,-2.01311888889
2,07 11 54.2007,-68 30 47.473,PSR J0712-68,107.97583625,-68.5131869444
3,10 22 58.011,+10 01 52.85,PSR J1022+10,155.7417125,10.0313472222
4,10 24 38.697,-07 19 19.07,PSR J1024-0719,156.1612375,-7.32196388889
5,10 45 50.1894,-45 09 54.143,PSR J1045-45,161.4591225,-45.1650397222
6,16 00 51.9040,-30 53 49.319,PSR J1600-3053,240.216266667,-30.8970330556
7,16 03 35.6798,-72 02 32.698,PSR J1604-72,240.898665833,-72.0424161111
8,16 43 38.1558,-12 24 58.720,PSR J1643-1224,250.9089825,-12.4163111111
9,17 13 49.5305,+07 47 37.526,PSR J1713+0447,258.456377083,7.79375722222
10,17 30 21.6483,-23 04 31.400,PSR J1730-2304,262.59020125,-23.0753888889
11,17 32 47.7671,-50 49 00.110,PSR J1732-5049,263.199029583,-50.8166972222
12,17 44 29.4103,-11 34 54.727,PSR J1744-1134,266.122542917,-11.5818686111
13,18 24 32.009,-24 52 11.10,PSR J1824-2452A,276.133370833,-24.86975
14,18 24 32.89,-24 52 11.4,M  28,276.137041667,-24.8698333333
15,18 57 36.3916,+09 43 17.232,PSR B1855+09,284.401631667,9.72145333333
16,19 09 47.4378,-37 44 14.324,PSR J1909-3744,287.4476575,-37.7373122222
17,19 39 39.6,+21 37 22,PSR B1937+21,294.915,21.6227777778
18,21 24 43.8464,-33 58 44.961,PSR J2124-3358,321.182693333,-33.9791558333
19,21 29 22.7618,-57 21 14.169,PSR J2129-5718,322.344840833,-57.3539358333
20,21 45 50.47,-07 50 18.3,PSR B2145-07.8,326.460291667,-7.83841666667
